User,Date,Question,Answer
Ce Po,2024-10-21 10:21:13,antenna height,BATANG ; SITE _ NAME : PASEKARAN _ TB ; TAC : 42035 ; REGION : NORTH CENTRAL JAVA ; KABUPATEN : BATANG ; ANTENNA _ HEIGHT : 50
Ce Po,2024-10-21 10:21:48,tac?,42035
widiatmokow None,2024-10-21 10:27:32,eut?,20 . 7 | 13 . 85 | 31 . 65
widiatmokow None,2024-10-21 10:27:41,how is the eut?,20 . 7 | 13 . 85 | 31 . 65
widiatmokow None,2024-10-21 10:27:56,how height the antenna?,CILACAP
widiatmokow None,2024-10-21 10:28:09,where is the regency?,CILACAP
widiatmokow None,2024-10-21 10:28:27,what is type of the transport?,FO
widiatmokow None,2024-10-21 10:28:41,can you show the coordinate?,DATA NOT FOUND.
widiatmokow None,2024-10-21 10:28:50,coordinate?,"https://www.google.com/maps?q=-7.34284,108.83456"
widiatmokow None,2024-10-21 10:29:15,how much is traffic im3?,366 . 97797
widiatmokow None,2024-10-21 10:29:26,how much is traffic 3id,422 . 9649
widiatmokow None,2024-10-21 10:29:37,what is the siteid?,422 . 9649
widiatmokow None,2024-10-21 10:29:48,what is the site_id?,14CLP0054
widiatmokow None,2024-10-21 10:30:36,what is the azimuth?,1 _ 50 | 2 _ 135 | 3 _ 270
widiatmokow None,2024-10-21 10:30:46,what is the prb?,58 . 96 | 69 . 7 | 29 . 91
Ash Kh,2024-10-21 15:28:26,prb?,67 . 3 | 49 . 9 | 51 . 1
Ash Kh,2024-10-21 15:28:38,regency?,BATANG
Ash Kh,2024-10-21 15:28:47,area?,BATANG
Ash Kh,2024-10-21 15:29:02,kota?,BATANG
Ash Kh,2024-10-21 15:29:10,kabupaten?,BATANG
Ash Kh,2024-10-21 15:29:34,nbid?,500647
Ash Kh,2024-10-21 15:30:11,site,14BAG0021
Ash Kh,2024-10-21 15:30:20,siteid,14BAG0021
Ash Kh,2024-10-21 15:30:38,enodeb name,PASEKARAN _ TB
Ash Kh,2024-10-21 15:31:06,tx?,FO
Ash Kh,2024-10-21 15:31:15,site class?,BATANG
Ash Kh,2024-10-21 15:31:22,tipe class?,BATANG
Ash Kh,2024-10-21 15:31:31,site_class,BATANG
Ash Kh,2024-10-21 15:34:07,site class,BATANG
Ash Kh,2024-10-21 15:34:16,eut?,9 . 44 | 20 . 56 | 19 . 84
widiatmokow None,2024-10-21 15:34:23,how much traffic 3?,608 . 80554
widiatmokow None,2024-10-21 15:34:36,how much traffic im3?,902 . 56085
Ash Kh,2024-10-21 15:34:38,cell congest?,BATANG
widiatmokow None,2024-10-21 15:34:47,how height the antenna?,30
Ash Kh,2024-10-21 15:34:50,category?,MEDIUM
widiatmokow None,2024-10-21 15:35:01,what is the tx?,FO
Ash Kh,2024-10-21 15:35:03,tipe field?,GF
Ash Kh,2024-10-21 15:35:13,hub type?,SMALL HUB SITE
widiatmokow None,2024-10-21 15:35:16,total traffic ioh how much?,1511 . 3663
Ash Kh,2024-10-21 15:35:22,tipe class?,BATANG
widiatmokow None,2024-10-21 15:35:37,siteid?,14SMG0168
widiatmokow None,2024-10-21 15:35:51,do you know the koordinat?,NORTH CENTRAL JAVA ; KABUPATEN : KOTA SEMARANG
widiatmokow None,2024-10-21 15:36:06,do you know the coordinate?,"https://www.google.com/maps?q=-7.0805,110.4121"
widiatmokow None,2024-10-21 15:36:15,do you know the map?,NORTH CENTRAL JAVA ; KABUPATEN : KOTA SEMARANG
widiatmokow None,2024-10-21 15:36:36,please share the maps?,NORTH CENTRAL JAVA ; KABUPATEN : KOTA SEMARANG
widiatmokow None,2024-10-21 15:36:54,in which kabupaten?,KOTA SEMARANG
Ash Kh,2024-10-22 10:13:12,eut?,9 . 44 | 20 . 56 | 19 . 84
Ash Kh,2024-10-22 10:13:21,lokasi?,- 6 . 9365
Ash Kh,2024-10-22 10:13:40,titik?/,500
Ash Kh,2024-10-22 10:13:44,coordinate?,- 6 . 9365
Ash Kh,2024-10-22 10:39:25,lokasi?,"https://www.google.com/maps?q=-6.98778,110.7341"
Sumantri Pramudiyanto,2024-10-22 10:40:42,how height antenna ?,50
Sumantri Pramudiyanto,2024-10-22 10:40:52,how much traffic IM3 ?,623 . 0239
Alif Wijatmoko None,2024-10-22 10:40:58,how much traffic IM3,625 . 8595
Sumantri Pramudiyanto,2024-10-22 10:41:04,how much total traffic ?,1180 . 4108
Sumantri Pramudiyanto,2024-10-22 10:41:18,what is the azimuth ?,1 _ 90 | 2 _ 180 | 3 _ 250
Alif Wijatmoko None,2024-10-22 10:41:20,what is the azimuth,1 _ 60 | 2 _ 190 | 3 _ 280
Sumantri Pramudiyanto,2024-10-22 10:41:34,give me the coordinate,NORTH
Alif Wijatmoko None,2024-10-22 10:41:38,give me cordinate,DEMAK
Sumantri Pramudiyanto,2024-10-22 10:41:57,please share the coordinate,NORTH
Alif Wijatmoko None,2024-10-22 10:41:59,give me longlat,DEMAK
Sumantri Pramudiyanto,2024-10-22 10:42:06,what is the coordinate,NORTH
Sumantri Pramudiyanto,2024-10-22 10:42:22,give the map,KENDAL
Ash Kh,2024-10-22 10:42:29,coordinate?,"https://www.google.com/maps?q=-6.98778,110.7341"
Sumantri Pramudiyanto,2024-10-22 10:42:39,where is the longitude lattitude,NORTH
Ash Kh,2024-10-22 10:42:44,give me the coordinate?,DEMAK
Ash Kh,2024-10-22 10:43:11,coordinate?,"https://www.google.com/maps?q=-6.98778,110.7341"
Muhammad Taufan,2024-10-22 10:44:28,how much traffic daily,507 . 22998
Ash Kh,2024-10-22 10:44:31,coordinate?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 10:44:33,eut?,16 . 5 | 2 . 63 | 11 . 34
Sumantri Pramudiyanto,2024-10-22 10:44:42,how much the im3 traffic,257 . 51517
Sumantri Pramudiyanto,2024-10-22 10:44:51,please share the location,PEMALANG
Muhammad Taufan,2024-10-22 10:44:56,where the location,BATANG
Sumantri Pramudiyanto,2024-10-22 10:44:58,longitude lattitude ?,NORTH
Sumantri Pramudiyanto,2024-10-22 10:45:08,lokasi ?,"https://www.google.com/maps?q=-6.89464,109.46969"
Sumantri Pramudiyanto,2024-10-22 10:45:23,map ?,"https://www.google.com/maps?q=-6.89464,109.46969"
Muhammad Taufan,2024-10-22 10:45:24,map?,"https://www.google.com/maps?q=-6.94899,109.96372"
Muhammad Taufan,2024-10-22 10:46:06,please shared long lat,BATANG ; SITE _ NAME : KETANGGAN _ PL ; TAC : 42034 ; REGION : NORTH
Ash Kh,2024-10-22 10:47:34,traffic?,434 . 27155
Ash Kh,2024-10-22 10:47:39,traffic gb_,434 . 27155
Ash Kh,2024-10-22 10:47:47,traffic__gb,434 . 27155
Sumantri Pramudiyanto,2024-10-22 10:47:52,berapa traffic ?,1160 . 0806
Sumantri Pramudiyanto,2024-10-22 10:48:11,berapa traffic im3 ?,257 . 51517
Muhammad Taufan,2024-10-22 10:48:13,berapa traffic IM3,414 . 2005
Muhammad Taufan,2024-10-22 10:48:22,berapa tinggi antenna,40
Sumantri Pramudiyanto,2024-10-22 10:48:26,berapa tinggi antenna ?,30
Sumantri Pramudiyanto,2024-10-22 10:48:40,berapa tinggi antena ?,30
Muhammad Taufan,2024-10-22 10:48:42,berapa tinggi antena,40
Sumantri Pramudiyanto,2024-10-22 10:49:10,antenna type,30
Sumantri Pramudiyanto,2024-10-22 10:49:31,berapa jumlah antena ?,30
Sumantri Pramudiyanto,2024-10-22 10:50:03,berapa azimuth antenna ?,"30 ; RAN _ CONFIG : 2T2R L1800 _ ( 10 ) + 2T2R L2100 _ ( 25 ) + HOS3 ; COORDINATE : - 6 . 89464 , 109 . 46969"
Sumantri Pramudiyanto,2024-10-22 10:50:21,apa konfigurasinya ?,2T2R L1800 _ ( 10 ) + 2T2R L2100 _ ( 25 ) + HOS3 ; COORDINATE : - 6 . 8946
Sumantri Pramudiyanto,2024-10-22 10:50:30,apa config?,2T2R L1800 _ ( 10 ) + 2T2R L2100 _ ( 25 ) + HOS3 ; COORDINATE : - 6 . 8946
Muhammad Taufan,2024-10-22 10:50:32,dimana coordinate,"https://www.google.com/maps?q=-6.94899,109.96372"
Muhammad Taufan,2024-10-22 10:51:16,where is the long lat,BATANG ; SITE _ NAME : KETANGGAN _ PL ; TAC : 42034 ; REGION : NORTH
Sumantri Pramudiyanto,2024-10-22 10:52:37,site id ?,14PML0095
Sumantri Pramudiyanto,2024-10-22 10:52:48,berapa site id ?,14PML0095
Sumantri Pramudiyanto,2024-10-22 10:52:54,berapa site_id ?,14PML0095
Sumantri Pramudiyanto,2024-10-22 10:53:01,berapa siteid?,14PML0095
Sumantri Pramudiyanto,2024-10-22 10:53:13,berapa sitei?,TRANSPORT
Sumantri Pramudiyanto,2024-10-22 10:53:24,berapa id site?,14PML0095
Muhammad Taufan,2024-10-22 11:09:20,apa nama site yang memiliki traffic ter tinggi di central java,14BAG0099
Muhammad Taufan,2024-10-22 11:17:30,what is near site GRINGSING_BAG_EP,NORTH
Ash Kh,2024-10-22 11:18:49,gb traffik?,2T2R L900 _ ( 10 ) + 4T4R L1800 _ ( 20 ) + 2T2R L2100 _ ( 15 )
Ash Kh,2024-10-22 11:19:12,gb traffic?,434 . 27155
Ash Kh,2024-10-22 11:19:22,gb trafik?,434 . 27155
Ash Kh,2024-10-22 11:37:20,koordinat?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 11:37:31,give me koordinat?,"- 6 . 98778 , 110 . 7341 ; AZIMUTH : 1 _ 35 | 2 _ 125 | 3 _ 220 ; HOSTNAME : SMG - TAMP - EN1 - C506Z ; TRANSPORT : FO ; SITE _ CLASS : B ; FIELD _ TYPE : GF ; HUB _ TYPE : SMALL HUB SITE ; TRAFFIC _ 3ID : 91 . 93082 ; TRAFFIC _ IM3 : 342 . 34073 ; TOTAL _ TRAFFIC _ GB : 434 . 27155 ; CATEGORY : MEDIUM"
Ash Kh,2024-10-22 11:38:08,give me the coordinate?,DEMAK
Ash Kh,2024-10-22 11:38:18,give me the coordinate,DEMAK
Ash Kh,2024-10-22 11:38:31,traffic daily,434 . 27155
Ash Kh,2024-10-22 11:38:38,traffic gb,434 . 27155
Ash Kh,2024-10-22 14:08:53,where are the coordinate?,DEMAK
Ash Kh,2024-10-22 14:09:03,coordinate?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 14:09:07,maps?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 14:09:14,traffic?,434 . 27155
Ash Kh,2024-10-22 14:09:20,traffic 3?,91 . 93082
Ash Kh,2024-10-22 14:09:30,traffic im3?,342 . 34073
Ash Kh,2024-10-22 14:09:40,config?,2T2R L900 _ ( 10 ) + 4T4R L1800 _ ( 20 ) + 2T2R L2100 _ ( 15 )
Ash Kh,2024-10-22 14:49:38,lokasi?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 14:49:45,location?,14DMK0117
Ash Kh,2024-10-22 14:49:55,latlong?,DEMAK
Ash Kh,2024-10-22 14:55:22,atenna?,64
Ash Kh,2024-10-22 14:58:15,atennnnna?,64
Ash Kh,2024-10-22 15:29:19,denodb id,571227
Ash Kh,2024-10-22 15:29:26,enodebbid,571227
Muhammad Taufan,2024-10-22 15:57:32,hallo,BATANG
Muhammad Taufan,2024-10-22 15:57:35,SRIKANDI_PKL_BL,BATANG ; SITE _ NAME : KETANGGAN _ PL ; TAC : 42034 ; REGION : NORTH
Muhammad Taufan,2024-10-22 15:57:39,SRIKANDI_PKL_BL,BATANG ; SITE _ NAME : KETANGGAN _ PL ; TAC : 42034 ; REGION : NORTH
Muhammad Taufan,2024-10-22 16:03:42,where is the location,BATANG
Muhammad Taufan,2024-10-22 16:07:36,bagai mana bentuk rumah,BATANG
Ash Kh,2024-10-22 16:33:24,location?,"https://www.google.com/maps?q=-6.98778,110.7341"
Ash Kh,2024-10-22 16:33:36,long lat?,"https://www.google.com/maps?q=-6.98778,110.7341"
